,year,life_exp,population,pm
2765,1998,77.8829268292683,15707209.0,14.49
2766,1999,77.8365853658537,15812088.0,12.77
2767,2000,77.9878048780488,15925513.0,13.13
2768,2001,78.190243902439,16046180.0,12.39
2769,2002,78.2926829268293,16148929.0,13.23
2770,2003,78.4926829268293,16225302.0,14.4
2771,2004,79.0951219512195,16281779.0,12.7
2772,2005,79.3463414634146,16319868.0,12.37
2773,2006,79.6975609756098,16346101.0,12.54
2774,2007,80.0975609756098,16381696.0,12.83
2775,2008,80.2512195121951,16445593.0,13.66
2776,2009,80.5487804878049,16530388.0,14.16
2777,2010,80.7024390243902,16615394.0,14.59
2778,2011,81.2048780487805,16693074.0,14.18
2779,2012,81.1048780487805,16754962.0,11.38
2780,2013,81.3048780487805,16804432.0,12.16
2781,2014,81.7073170731707,16865008.0,11.49
2782,2015,81.509756097561,16939923.0,10.44
2783,2016,81.5609756097561,17030314.0,10.22
2784,2017,81.7609756097561,17131296.0,10.0
2785,2018,81.8121951219512,17231624.0,10.88
