year,life_exp,population,pm
2004,79.8414634146342,4591910.0,5.71
2005,80.0414634146342,4623291.0,5.6100001
2006,80.3439024390244,4660677.0,6.4400001
2007,80.3951219512195,4709153.0,5.27
2008,80.5926829268293,4768212.0,5.2800002
2009,80.7951219512195,4828726.0,5.75
2010,80.9975609756098,4889252.0,6.3299999
2011,81.2951219512195,4953088.0,6.0100002
2012,81.4512195121951,5018573.0,5.1599998
2013,81.7512195121951,5079623.0,5.0999999
2014,82.1,5137232.0,5.3699999
2015,82.3048780487805,5188607.0,4.3099999
2016,82.4073170731707,5234519.0,4.6500001
2017,82.609756097561,5276968.0,4.1799998
2018,82.7585365853659,5311916.0,5.1599998
