year,life_exp,population,pm
2004,79.5487804878049,4087500.0,2.24
2005,79.8512195121951,4133900.0,2.55
2006,80.0487804878049,4184600.0,2.4000001
2007,80.1512195121951,4223800.0,2.6099999
2008,80.3512195121951,4259800.0,2.45
2009,80.7024390243902,4302600.0,2.3900001
2010,80.7024390243902,4350700.0,2.5699999
2011,80.9048780487805,4384000.0,2.5599999
2012,81.1560975609756,4408100.0,2.49
2013,81.4073170731707,4442100.0,2.72
2014,81.4048780487805,4516500.0,2.3699999
2015,81.4568292682927,4609400.0,2.3399999
2016,81.6124390243903,4714100.0,2.3
2017,81.6585365853659,4813600.0,2.75
2018,81.8585365853659,4900600.0,2.4300001
