year,life_exp,population,pm
1998,69.082,25818226.0,19.57
1999,69.743,26252239.0,18.76
2000,70.424,26654439.0,22.0
2001,71.041,27014909.0,25.15
2002,71.661,27334503.0,25.219999
2003,72.217,27623341.0,26.83
2004,72.668,27893911.0,26.709999
2005,72.986,28147267.0,27.41
2006,73.172,28381078.0,25.76
2007,73.223,28600387.0,25.85
2008,73.377,28806185.0,24.07
2009,73.466,29009326.0,24.440001
2010,73.711,29229572.0,25.690001
2011,74.133,29477721.0,24.4
2012,74.544,29749589.0,24.5
2013,74.967,30038809.0,24.190001
2014,75.333,30353951.0,23.25
2015,75.621,30711863.0,23.35
2016,75.789,31132779.0,24.540001
2017,75.879,31605486.0,24.940001
2018,76.009,32203944.0,24.030001
