,country,year,life_exp,population,pm
2933,PHL,1998,69.1,74491918.0,13.78
2934,PHL,1999,69.298,76249064.0,12.97
2935,PHL,2000,69.413,77958223.0,15.03
2936,PHL,2001,69.614,79626086.0,15.31
2937,PHL,2002,69.781,81285572.0,15.41
2938,PHL,2003,69.924,82942837.0,16.0
2939,PHL,2004,70.037,84607501.0,17.389999
2940,PHL,2005,70.24,86261250.0,18.709999
2941,PHL,2006,70.282,87901835.0,16.73
2942,PHL,2007,70.483,89561377.0,17.129999
2943,PHL,2008,70.564,91252326.0,16.549999
2944,PHL,2009,70.633,92946951.0,18.51
2945,PHL,2010,70.754,94636700.0,17.15
2946,PHL,2011,70.788,96337913.0,17.82
2947,PHL,2012,70.881,98032317.0,16.57
2948,PHL,2013,70.835,99700107.0,16.889999
2949,PHL,2014,71.151,101325201.0,17.66
2950,PHL,2015,71.268,103031365.0,16.950001
2951,PHL,2016,71.387,104875266.0,16.1
2952,PHL,2017,71.516,106738501.0,16.889999
2953,PHL,2018,71.689,108568836.0,14.55
