,year,life_exp,population,pm
2977,1998,72.9975609756098,38663481.0,26.0
2978,1999,73.0439024390244,38660271.0,24.639999
2979,2000,73.7487804878049,38258629.0,22.75
2980,2001,74.2,38248076.0,24.870001
2981,2002,74.4975609756098,38230364.0,26.51
2982,2003,74.5975609756098,38204570.0,26.450001
2983,2004,74.8463414634146,38182222.0,22.559999
2984,2005,74.9951219512195,38165445.0,23.889999
2985,2006,75.1439024390244,38141267.0,25.49
2986,2007,75.2439024390244,38120560.0,20.059999
2987,2008,75.5439024390244,38125759.0,19.76
2988,2009,75.6951219512195,38151603.0,22.5
2989,2010,76.2463414634146,38042794.0,26.389999
2990,2011,76.6951219512195,38063255.0,23.610001
2991,2012,76.7463414634146,38063164.0,21.549999
2992,2013,77.0,38040196.0,21.059999
2993,2014,77.6024390243903,38011735.0,21.120001
2994,2015,77.4512195121951,37986412.0,19.43
2995,2016,77.8512195121951,37970087.0,19.110001
2996,2017,77.7536585365854,37974826.0,19.5
2997,2018,77.6024390243903,37974750.0,19.030001
