,country,year,life_exp,population,pm
2998,PRI,1998,75.194,3781101.0,2.21
2999,PRI,1999,75.536,3800081.0,2.9100001
3000,PRI,2000,75.977,3810605.0,2.3800001
3001,PRI,2001,76.456,3818774.0,2.55
3002,PRI,2002,76.728,3823701.0,1.97
3003,PRI,2003,76.874,3826095.0,2.1199999
3004,PRI,2004,77.143,3826878.0,1.78
3005,PRI,2005,77.237,3821362.0,2.55
3006,PRI,2006,77.415,3805214.0,2.53
3007,PRI,2007,77.621,3782995.0,2.25
3008,PRI,2008,77.841,3760866.0,1.75
3009,PRI,2009,77.877,3740410.0,1.9
3010,PRI,2010,78.01,3721525.0,2.5799999
3011,PRI,2011,78.316,3678732.0,1.77
3012,PRI,2012,78.461,3634488.0,1.92
3013,PRI,2013,78.777,3593077.0,1.7
3014,PRI,2014,78.929,3534874.0,1.86
3015,PRI,2015,79.695,3473232.0,1.75
3016,PRI,2016,80.27,3406672.0,1.97
3017,PRI,2017,79.258,3325286.0,2.27
3018,PRI,2018,79.77,3193354.0,2.1099999
