year,life_exp,population,pm
2004,71.5609756097561,21451748.0,19.32
2005,71.9121951219512,21319685.0,19.85
2006,72.1634146341463,21193760.0,19.950001
2007,72.5658536585366,20882982.0,17.290001
2008,72.5658536585366,20537875.0,17.18
2009,73.309756097561,20367487.0,17.370001
2010,73.4585365853659,20246871.0,16.43
2011,74.409756097561,20147528.0,20.66
2012,74.4121951219512,20058035.0,18.98
2013,75.0634146341463,19983693.0,16.219999
2014,74.909756097561,19908979.0,15.38
2015,74.9121951219512,19815616.0,16.09
2016,75.209756097561,19702267.0,16.09
2017,75.309756097561,19588715.0,18.110001
2018,75.3585365853659,19473970.0,15.97
