,country,year,life_exp,population,pm
3292,SLB,1998,66.92,408145.0,2.24
3293,SLB,1999,67.069,419229.0,1.88
3294,SLB,2000,67.225,429978.0,3.0599999
3295,SLB,2001,67.364,440395.0,3.47
3296,SLB,2002,67.515,450760.0,3.9000001
3297,SLB,2003,67.644,461216.0,3.4200001
3298,SLB,2004,67.801,471785.0,4.1599998
3299,SLB,2005,67.936,482486.0,3.53
3300,SLB,2006,68.09,493430.0,4.77
3301,SLB,2007,67.986,504619.0,5.5900002
3302,SLB,2008,68.404,516001.0,3.8699999
3303,SLB,2009,68.466,527833.0,5.48
3304,SLB,2010,68.732,540394.0,5.25
3305,SLB,2011,68.908,553721.0,5.0999999
3306,SLB,2012,69.084,567763.0,5.3899999
3307,SLB,2013,69.188,582365.0,7.1199999
3308,SLB,2014,69.234,597375.0,6.8499999
3309,SLB,2015,69.583,612660.0,6.3800001
3310,SLB,2016,69.801,628102.0,6.3699999
3311,SLB,2017,69.988,643634.0,7.1300001
3312,SLB,2018,70.173,659249.0,6.1900001
