,country,year,life_exp,population,pm
3355,SOM,1998,50.66,8056862.0,5.54
3356,SOM,1999,50.525,8384479.0,7.5
3357,SOM,2000,50.66,8721465.0,7.6100001
3358,SOM,2001,50.74,9070747.0,6.8699999
3359,SOM,2002,50.731,9411103.0,7.6100001
3360,SOM,2003,50.614,9758281.0,7.75
3361,SOM,2004,50.538,10117354.0,8.4399996
3362,SOM,2005,50.661,10467292.0,7.3499999
3363,SOM,2006,50.597,10784973.0,8.5100002
3364,SOM,2007,50.515,11118092.0,8.75
3365,SOM,2008,51.12,11444870.0,7.4499998
3366,SOM,2009,51.853,11730037.0,8.6000004
3367,SOM,2010,50.563,12026649.0,8.5
3368,SOM,2011,51.304,12216837.0,9.25
3369,SOM,2012,53.161,12440326.0,8.1499996
3370,SOM,2013,53.843,12852485.0,7.4000001
3371,SOM,2014,54.277,13309235.0,7.6999998
3372,SOM,2015,54.857,13763906.0,8.0100002
3373,SOM,2016,55.044,14292847.0,7.9299998
3374,SOM,2017,55.654,14864221.0,7.8899999
3375,SOM,2018,56.375,15411094.0,8.54
