,year,life_exp,population,pm
3376,2000,71.5829268292683,7516346.0,19.709999
3377,2001,72.2341463414634,7503433.0,21.690001
3378,2002,72.2853658536585,7496522.0,21.92
3379,2003,72.4365853658537,7480591.0,23.4
3380,2004,72.6829268292683,7463157.0,21.99
3381,2005,72.8341463414634,7440769.0,23.469999
3382,2006,73.3853658536585,7411569.0,23.469999
3383,2007,73.6317073170732,7381579.0,20.5
3384,2008,73.8853658536585,7350222.0,20.280001
3385,2009,73.9853658536585,7320807.0,21.469999
3386,2010,74.3365853658537,7291436.0,18.889999
3387,2011,74.5365853658537,7234099.0,27.389999
3388,2012,74.8365853658537,7199077.0,24.76
3389,2013,75.1853658536585,7164132.0,20.98
3390,2014,75.3365853658537,7130576.0,20.01
3391,2015,75.2878048780488,7095383.0,22.280001
3392,2016,75.6878048780488,7058322.0,21.27
3393,2017,75.5390243902439,7020858.0,21.889999
3394,2018,75.890243902439,6982604.0,21.1
