,year,life_exp,population,pm
3416,1998,65.594,461749.0,4.3200002
3417,1999,65.443,470458.0,4.8600001
3418,2000,65.508,478998.0,4.54
3419,2001,65.482,487394.0,6.4499998
3420,2002,65.531,495666.0,5.5300002
3421,2003,65.596,503780.0,6.23
3422,2004,66.416,510572.0,6.1700001
3423,2005,67.002,516220.0,6.29
3424,2006,67.571,522023.0,6.0799999
3425,2007,68.204,527946.0,5.6100001
3426,2008,68.816,533938.0,6.9000001
3427,2009,69.505,539987.0,6.3000002
3428,2010,69.894,546080.0,6.1100001
3429,2011,69.914,552146.0,5.6700001
3430,2012,69.764,558111.0,5.7600002
3431,2013,69.682,563947.0,5.1900001
3432,2014,69.782,569682.0,4.9200001
3433,2015,70.8,575475.0,4.98
3434,2016,71.592,581453.0,5.3499999
3435,2017,72.417,587559.0,5.0100002
3436,2018,72.553,593715.0,4.9499998
