,year,life_exp,population,pm
3528,1998,71.7463414634146,78846.0,2.8199999
3529,1999,72.6682926829268,80410.0,3.02
3530,2000,72.7780487804878,81131.0,3.3099999
3531,2001,73.2536585365854,81202.0,2.8199999
3532,2002,71.0878048780488,83723.0,3.02
3533,2003,71.0292682926829,82781.0,3.95
3534,2004,72.6609756097561,82475.0,3.46
3535,2005,72.1317073170732,82858.0,3.28
3536,2006,72.2170731707317,84600.0,4.1599998
3537,2007,73.1439024390244,85033.0,4.1300001
3538,2008,73.1634146341463,86956.0,3.25
3539,2009,73.0829268292683,87298.0,4.71
3540,2010,73.1975609756098,89770.0,3.73
3541,2011,72.7243902439024,87441.0,4.6100001
3542,2012,74.2756097560976,88303.0,4.1300001
3543,2013,73.119512195122,89949.0,3.9400001
3544,2014,73.2292682926829,91359.0,3.96
3545,2015,74.2951219512195,93419.0,3.4300001
3546,2016,74.309756097561,94677.0,4.8000002
3547,2017,74.3,95843.0,4.8299999
3548,2018,72.8414634146341,96762.0,4.21
