,year,life_exp,population,pm
3549,1998,70.196,15500542.0,17.370001
3550,1999,70.425,15901201.0,19.27
3551,2000,70.764,16307654.0,20.25
3552,2001,71.644,16727948.0,18.9
3553,2002,71.939,17164021.0,16.790001
3554,2003,72.414,17611356.0,17.42
3555,2004,72.475,18084007.0,16.110001
3556,2005,72.769,18583557.0,18.16
3557,2006,73.35,19432009.0,17.049999
3558,2007,73.709,20703005.0,18.01
3559,2008,73.551,21474059.0,16.85
3560,2009,73.853,21827220.0,20.030001
3561,2010,73.881,22337563.0,17.549999
3562,2011,73.305,22730733.0,20.940001
3563,2012,66.769,22605577.0,23.280001
3564,2013,63.827,21495821.0,20.6
3565,2014,63.153,20072232.0,19.620001
3566,2015,65.124,19205178.0,20.700001
3567,2016,65.993,18964252.0,18.52
3568,2017,68.481,18983373.0,20.09
3569,2018,70.145,19333463.0,19.99
