year,life_exp,population,pm
1998,73.964,17239.0,4.0700002
1999,74.01,17984.0,3.98
2000,73.575,18744.0,3.0999999
2001,74.131,19578.0,3.22
2002,75.54,20598.0,2.55
2003,75.411,21739.0,2.46
2004,76.786,22869.0,2.6300001
2005,77.148,23995.0,3.47
2006,76.831,25128.0,3.0699999
2007,75.914,26268.0,2.9200001
2008,76.632,27422.0,1.9400001
2009,77.164,28581.0,2.03
2010,76.243,29726.0,2.73
2011,76.195,30816.0,2.1400001
2012,77.037,32081.0,2.27
2013,77.018,33594.0,1.9299999
2014,77.135,34985.0,1.9299999
2015,76.912,36538.0,2.03
2016,76.864,38246.0,2.0799999
2017,76.702,39844.0,2.24
2018,76.443,41487.0,2.05
