,year,life_exp,population,pm
3591,1998,47.224,7709115.0,11.18
3592,1999,47.372,7981889.0,10.66
3593,2000,47.443,8259137.0,10.49
3594,2001,47.85,8538804.0,9.3400002
3595,2002,47.946,8838369.0,9.5799999
3596,2003,48.206,9196366.0,10.41
3597,2004,48.232,9613503.0,10.93
3598,2005,48.312,10005012.0,10.33
3599,2006,48.286,10365614.0,10.36
3600,2007,48.751,10722731.0,10.62
3601,2008,49.024,11098664.0,10.29
3602,2009,49.196,11496128.0,10.0
3603,2010,49.584,11894727.0,11.36
3604,2011,50.009,12317730.0,11.0
3605,2012,50.54,12754906.0,10.82
3606,2013,50.781,13216766.0,9.9200001
3607,2014,51.202,13697126.0,10.33
3608,2015,51.589,14140274.0,10.32
3609,2016,52.083,14592585.0,10.67
3610,2017,52.308,15085884.0,10.96
3611,2018,52.825,15604210.0,11.4
