,year,life_exp,population,pm
3654,1998,61.519,6156805.0,11.98
3655,1999,62.621,6189565.0,10.86
3656,2000,63.26,6272998.0,11.82
3657,2001,64.057,6408810.0,12.74
3658,2002,64.846,6541755.0,12.42
3659,2003,65.552,6672492.0,13.8
3660,2004,66.028,6801204.0,12.42
3661,2005,66.514,6929145.0,14.2
3662,2006,67.013,7057417.0,13.42
3663,2007,67.217,7188391.0,14.78
3664,2008,67.688,7324627.0,14.15
3665,2009,68.039,7468596.0,15.99
3666,2010,67.742,7621779.0,14.89
3667,2011,68.148,7784819.0,18.09
3668,2012,68.484,7956382.0,17.15
3669,2013,68.885,8136610.0,14.68
3670,2014,69.069,8326348.0,15.12
3671,2015,69.306,8524063.0,15.86
3672,2016,69.549,8725318.0,15.97
3673,2017,69.905,8925525.0,17.26
3674,2018,70.353,9128132.0,14.02
