,country,year,life_exp,population,pm
3675,TKM,1998,64.106,4431517.0,10.34
3676,TKM,1999,64.518,4501079.0,8.7399998
3677,TKM,2000,65.026,4569132.0,7.9699998
3678,TKM,2001,65.156,4635094.0,8.0500002
3679,TKM,2002,65.385,4698968.0,8.46
3680,TKM,2003,65.746,4758988.0,8.1499996
3681,TKM,2004,66.075,4819792.0,8.0500002
3682,TKM,2005,66.068,4885775.0,9.3699999
3683,TKM,2006,66.499,4954029.0,9.0900002
3684,TKM,2007,66.895,5024894.0,8.7399998
3685,TKM,2008,67.407,5100083.0,11.36
3686,TKM,2009,67.958,5180957.0,8.8900003
3687,TKM,2010,68.293,5267970.0,9.3400002
3688,TKM,2011,68.567,5360811.0,11.36
3689,TKM,2012,68.722,5458682.0,12.25
3690,TKM,2013,68.74,5560095.0,8.1899996
3691,TKM,2014,68.614,5663152.0,9.3000002
3692,TKM,2015,68.782,5766431.0,8.5900002
3693,TKM,2016,68.777,5868561.0,8.5299997
3694,TKM,2017,68.916,5968383.0,9.8500004
3695,TKM,2018,68.796,6065066.0,8.9499998
