year,life_exp,population,pm
1998,49.123,855409.0,6.8699999
1999,45.701,866649.0,8.3900003
2000,58.568,878360.0,8.4499998
2001,59.362,893001.0,9.5100002
2002,60.148,909639.0,8.7299995
2003,60.871,926721.0,8.0299997
2004,61.628,945989.0,9.6400003
2005,62.328,969313.0,8.6499996
2006,63.073,994564.0,8.8400002
2007,63.723,1019362.0,10.48
2008,64.329,1043076.0,9.8400002
2009,64.854,1065540.0,10.82
2010,65.304,1088486.0,9.3299999
2011,65.697,1112976.0,13.52
2012,66.081,1137676.0,13.09
2013,66.44,1161555.0,9.25
2014,66.787,1184830.0,10.75
2015,67.137,1205813.0,10.11
2016,67.446,1224562.0,9.4899998
2017,67.745,1243235.0,10.43
2018,68.017,1261845.0,10.07
