,country,year,life_exp,population,pm
3738,TTO,1998,69.16,1322572.0,2.8900001
3739,TTO,1999,68.377,1327063.0,3.5999999
3740,TTO,2000,69.102,1332203.0,2.78
3741,TTO,2001,69.646,1338567.0,3.8599999
3742,TTO,2002,70.488,1345964.0,3.05
3743,TTO,2003,69.729,1353548.0,3.5
3744,TTO,2004,71.076,1361172.0,3.25
3745,TTO,2005,71.308,1369075.0,3.72
3746,TTO,2006,71.256,1376919.0,3.55
3747,TTO,2007,71.652,1384861.0,3.45
3748,TTO,2008,71.47,1392803.0,3.74
3749,TTO,2009,73.126,1401191.0,3.29
3750,TTO,2010,72.725,1410296.0,5.1799998
3751,TTO,2011,73.278,1420020.0,3.54
3752,TTO,2012,73.716,1430377.0,3.54
3753,TTO,2013,73.962,1440729.0,3.4100001
3754,TTO,2014,74.215,1450661.0,2.9200001
3755,TTO,2015,74.503,1460177.0,3.0699999
3756,TTO,2016,74.281,1469330.0,3.8299999
3757,TTO,2017,74.23,1478607.0,3.75
3758,TTO,2018,73.802,1504709.0,3.03
