,country,year,life_exp,population,pm
3801,TUV,1998,63.418,9634.0,0.75999999
3802,TUV,1999,63.427,9640.0,0.80000001
3803,TUV,2000,63.499,9638.0,0.89999998
3804,TUV,2001,63.543,9621.0,1.0
3805,TUV,2002,63.58,9609.0,1.26
3806,TUV,2003,63.631,9668.0,1.4
3807,TUV,2004,63.693,9791.0,1.1
3808,TUV,2005,63.836,9912.0,1.3
3809,TUV,2006,63.928,10030.0,1.16
3810,TUV,2007,63.931,10149.0,1.42
3811,TUV,2008,63.948,10272.0,0.95999998
3812,TUV,2009,63.949,10408.0,1.1900001
3813,TUV,2010,63.978,10550.0,1.0599999
3814,TUV,2011,63.974,10700.0,0.86000001
3815,TUV,2012,63.964,10854.0,1.0599999
3816,TUV,2013,64.008,10918.0,1.26
3817,TUV,2014,64.025,10899.0,1.49
3818,TUV,2015,64.06,10877.0,1.46
3819,TUV,2016,64.108,10852.0,1.36
3820,TUV,2017,64.148,10828.0,1.1
3821,TUV,2018,64.212,10865.0,1.22
