,country,year,life_exp,population,pm
3885,URY,1998,74.527,3262683.0,6.9699998
3886,URY,1999,74.769,3278963.0,7.2800002
3887,URY,2000,75.025,3292224.0,7.8000002
3888,URY,2001,75.285,3300939.0,7.9699998
3889,URY,2002,75.54,3306441.0,8.3599997
3890,URY,2003,75.785,3310202.0,8.1300001
3891,URY,2004,76.007,3313801.0,7.3800001
3892,URY,2005,76.194,3317665.0,7.3400002
3893,URY,2006,76.362,3322282.0,8.1999998
3894,URY,2007,76.498,3328651.0,8.2200003
3895,URY,2008,76.623,3336126.0,8.1099997
3896,URY,2009,76.738,3344156.0,7.4699998
3897,URY,2010,76.858,3352651.0,6.8600001
3898,URY,2011,76.983,3361637.0,7.23
3899,URY,2012,77.111,3371133.0,8.2299995
3900,URY,2013,77.24,3381180.0,7.9400001
3901,URY,2014,77.366,3391662.0,8.5200005
3902,URY,2015,77.483,3402818.0,7.2399998
3903,URY,2016,77.571,3413766.0,7.3800001
3904,URY,2017,77.625,3422200.0,7.6700001
3905,URY,2018,77.611,3427042.0,7.2199998
