,year,life_exp,population,pm
3948,1998,72.668,23503819.0,7.6399999
3949,1999,72.254,23966960.0,7.9000001
3950,2000,72.478,24427729.0,9.3000002
3951,2001,71.201,24880203.0,12.67
3952,2002,72.662,25330929.0,11.04
3953,2003,71.94,25782029.0,14.28
3954,2004,72.514,26226927.0,12.12
3955,2005,72.782,26668785.0,13.48
3956,2006,72.742,27102081.0,12.43
3957,2007,73.058,27525097.0,11.85
3958,2008,72.436,27933833.0,12.46
3959,2009,72.579,28327892.0,11.04
3960,2010,72.89,28715022.0,15.85
3961,2011,72.913,29096159.0,13.73
3962,2012,73.036,29470426.0,12.81
3963,2013,73.196,29838021.0,11.96
3964,2014,72.853,30193258.0,11.19
3965,2015,73.006,30529716.0,11.64
3966,2016,72.058,30741464.0,13.91
3967,2017,71.943,30563433.0,13.32
3968,2018,71.979,29825653.0,11.56
