,year,life_exp,population,pm
3969,1998,74.906,19079.0,1.8
3970,1999,74.412,19586.0,2.27
3971,2000,73.966,20104.0,1.79
3972,2001,73.846,20657.0,1.78
3973,2002,73.891,21288.0,1.45
3974,2003,73.986,21982.0,1.53
3975,2004,74.251,22715.0,1.3200001
3976,2005,74.723,23497.0,2.05
3977,2006,74.88,24323.0,1.92
3978,2007,75.039,25191.0,1.71
3979,2008,75.007,26115.0,1.4
3980,2009,75.26,27044.0,1.5
3981,2010,75.428,27556.0,2.4200001
3982,2011,75.486,27962.0,1.3099999
3983,2012,75.532,28421.0,1.72
3984,2013,75.574,28657.0,1.3200001
3985,2014,75.612,28971.0,1.38
3986,2015,75.675,29366.0,1.54
3987,2016,75.724,29739.0,1.58
3988,2017,74.785,30060.0,1.77
3989,2018,75.831,30335.0,1.38
