,country,year,life_exp,population,pm
4011,VNM,1998,72.107,77128424.0,19.02
4012,VNM,1999,72.317,78123713.0,17.91
4013,VNM,2000,72.462,79001142.0,20.629999
4014,VNM,2001,72.647,79817777.0,23.27
4015,VNM,2002,72.801,80642308.0,22.280001
4016,VNM,2003,72.98,81475825.0,24.23
4017,VNM,2004,73.135,82311227.0,27.57
4018,VNM,2005,73.271,83142095.0,27.76
4019,VNM,2006,73.319,83951800.0,28.809999
4020,VNM,2007,73.436,84762269.0,30.190001
4021,VNM,2008,73.411,85597241.0,30.639999
4022,VNM,2009,73.498,86482923.0,28.790001
4023,VNM,2010,73.513,87411012.0,29.059999
4024,VNM,2011,73.692,88349117.0,30.58
4025,VNM,2012,73.704,89301326.0,28.969999
4026,VNM,2013,73.775,90267739.0,29.889999
4027,VNM,2014,73.855,91235504.0,28.549999
4028,VNM,2015,73.876,92191398.0,25.790001
4029,VNM,2016,73.938,93126529.0,26.25
4030,VNM,2017,73.963,94033048.0,26.139999
4031,VNM,2018,73.976,94914330.0,23.75
