,year,life_exp,population,pm
4032,1998,68.763,183088.0,2.25
4033,1999,68.237,187432.0,2.71
4034,2000,68.966,192074.0,3.6199999
4035,2001,69.037,197034.0,3.8
4036,2002,69.196,202125.0,3.0
4037,2003,69.276,207258.0,3.2
4038,2004,69.313,212422.0,3.0
4039,2005,69.39,217632.0,3.1700001
4040,2006,69.462,222923.0,2.75
4041,2007,69.544,228345.0,3.52
4042,2008,69.602,233952.0,3.97
4043,2009,69.653,239689.0,3.5
4044,2010,69.617,245453.0,3.98
4045,2011,69.551,251294.0,4.3200002
4046,2012,69.497,257313.0,4.04
4047,2013,69.534,263534.0,4.5999999
4048,2014,69.465,269927.0,4.3400002
4049,2015,69.513,276438.0,3.95
4050,2016,69.65,283218.0,4.1900001
4051,2017,69.71,290239.0,4.73
4052,2018,69.795,297298.0,4.5100002
