country,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
AFG,38.92,37.64,45.62,46.91,47.35,45.03,34.45,41.26
AGO,13.76,15.01,16.42,15.98,14.9,14.32,16.16,13.31
ALB,21.54,21.17,16.38,17.25,16.62,16.31,15.55,14.81
ARE,41.75,47.58,45.71,40.3,53.35,47.75,47.48,47.35
ARG,6.29,5.5,6.13,6.71,6.42,5.37,5.88,5.74
ARM,16.1,14.75,14.55,14.35,15.52,14.92,14.92,14.95
AUS,5.25,4.43,5.07,5.91,4.72,4.16,4.42,4.44
AUT,19.93,18.98,17.52,18.07,16.49,13.94,15.86,16.53
AZE,18.95,18.35,16.1,16.98,18.56,15.91,17.33,18.0
BDI,18.36,23.49,23.49,19.92,18.66,20.7,19.61,16.64
BEL,20.4,19.31,17.85,17.21,19.88,17.33,15.29,18.38
BEN,58.59,79.71,66.44,66.08,55.0,72.35,65.72,63.01
BFA,52.26,63.11,53.64,57.88,49.17,69.48,60.8,54.01
BGD,41.31,47.47,50.91,51.16,47.81,48.14,49.37,51.51
BGR,21.23,20.49,17.95,18.83,17.09,15.08,16.61,15.93
BHS,6.4,6.8,6.6,5.4,5.7,5.4,5.3,6.0
BIH,24.07,23.37,19.35,20.92,19.73,18.44,19.21,18.69
BLR,21.0,18.15,16.9,20.85,15.63,14.67,16.73,19.6
BLZ,11.46,15.14,12.48,11.12,14.46,8.98,11.92,10.28
BOL,16.46,13.08,11.25,14.28,12.02,15.51,15.66,11.88
BRA,12.5,10.27,11.36,12.45,11.58,13.02,12.19,10.01
BRN,9.6,8.2,8.6,13.25,11.9,12.7,10.45,16.55
BTN,15.18,17.81,18.61,18.76,20.87,24.14,24.73,24.65
BWA,9.44,8.98,10.22,9.65,9.07,7.75,9.33,7.57
CAF,34.47,35.19,27.71,27.73,29.31,33.22,28.04,27.43
CAN,3.99,3.28,3.35,3.86,4.18,6.01,3.97,3.73
CHE,22.66,18.58,18.47,16.83,17.86,13.52,13.18,15.74
CHL,6.39,5.79,6.59,6.91,5.22,5.39,5.63,5.11
CHN,31.62,33.62,32.85,33.55,32.53,31.48,29.19,35.47
CIV,51.67,66.32,43.57,50.44,43.48,71.94,55.74,47.74
CMR,44.27,48.76,37.32,37.21,39.4,45.78,40.46,37.17
COD,33.02,39.33,27.34,28.12,26.98,31.37,27.17,23.06
COG,35.23,40.3,28.12,28.89,29.12,34.46,28.17,23.94
COL,26.28,25.69,18.69,17.21,20.5,18.47,18.25,17.57
COM,2.9,3.6,4.0,3.7,3.8,3.5,3.6,3.3
CPV,37.3,42.3,29.0,32.2,26.8,29.0,29.9,24.1
CRI,6.61,7.04,6.99,6.21,6.55,5.7,7.22,6.5
CUB,8.02,9.49,9.6,8.66,8.45,7.29,7.2,7.91
CYP,12.2,12.65,13.45,12.75,12.95,12.55,12.1,14.9
CZE,24.21,22.83,22.47,23.51,20.6,17.54,21.57,20.75
DEU,20.08,18.58,17.13,18.97,18.12,15.14,15.18,16.51
DJI,25.22,27.32,25.73,25.55,23.12,22.52,23.27,22.72
DNK,16.94,16.47,11.7,14.91,16.06,11.89,12.85,14.44
DOM,9.21,10.54,8.96,8.32,8.86,7.0,9.12,8.74
DZA,43.51,43.78,42.09,46.81,40.1,41.12,44.68,41.33
ECU,12.21,11.81,11.36,11.78,11.44,13.86,13.48,11.52
EGY,26.29,29.92,29.82,33.13,36.49,34.51,32.15,35.01
ERI,24.53,28.13,23.26,23.71,22.75,21.41,24.39,21.45
ESP,11.7,12.32,11.91,11.86,10.92,10.93,10.06,10.63
EST,12.25,9.71,8.83,10.46,9.29,7.93,9.82,11.72
ETH,13.99,15.55,17.28,16.96,14.97,14.36,15.09,15.23
FIN,7.49,6.52,6.12,5.09,5.78,5.2,5.31,6.67
FJI,1.97,1.77,1.73,1.9,1.97,1.87,1.83,1.77
FRA,16.06,13.73,13.91,12.32,14.41,11.42,11.37,12.68
GAB,25.47,29.92,22.11,22.53,24.41,23.96,20.41,17.88
GBR,13.32,12.79,10.4,11.24,15.31,9.93,10.29,9.97
GEO,12.55,12.01,11.91,11.03,11.15,11.12,11.41,11.63
GHA,57.75,80.57,53.61,61.8,52.99,75.63,62.55,55.57
GIN,46.3,49.17,38.01,40.48,39.69,49.97,43.6,39.27
GMB,49.17,53.5,42.17,50.4,49.83,49.27,45.33,43.6
GNB,44.87,48.31,38.04,42.54,42.22,46.12,41.81,38.46
GNQ,25.09,29.9,21.75,21.54,23.02,21.76,20.04,15.48
GRC,18.03,17.58,15.08,16.14,14.95,13.55,13.8,13.31
GRL,1.76,1.68,1.64,1.78,1.86,1.75,1.64,1.55
GTM,15.95,26.4,15.21,14.4,18.02,10.17,14.83,13.45
GUY,12.63,12.54,12.7,10.77,9.39,7.94,7.97,8.47
HND,11.67,13.7,11.86,11.34,12.79,7.97,12.57,9.12
HRV,22.9,20.89,17.43,20.76,19.27,16.48,19.26,18.67
HTI,9.21,10.77,9.02,8.29,9.4,7.11,8.95,8.85
HUN,26.3,23.56,20.88,23.5,21.94,17.84,21.38,21.23
IDN,16.97,13.1,13.3,24.59,13.35,18.77,13.61,24.79
IND,40.93,43.79,46.62,48.86,47.13,48.2,43.43,43.66
IRL,7.56,7.52,6.82,7.03,10.35,5.41,6.52,6.62
IRN,35.77,31.18,29.87,30.34,33.83,30.91,28.4,30.28
IRQ,22.39,27.22,22.8,24.66,26.71,23.88,27.55,27.53
ISL,3.17,3.07,3.04,3.63,3.58,3.57,2.81,2.81
ISR,17.38,18.8,20.06,21.1,23.22,21.64,20.69,22.52
ITA,23.97,21.94,17.16,19.14,18.97,17.16,16.39,16.23
JAM,9.53,10.7,9.87,9.47,11.83,9.27,10.6,11.5
JOR,13.77,15.35,19.31,21.27,26.61,24.25,24.84,24.4
JPN,11.19,15.2,14.11,12.52,13.61,11.04,12.07,12.87
KAZ,16.04,14.74,15.71,14.38,12.66,12.82,12.29,13.8
KEN,8.15,9.17,10.37,9.91,8.15,7.57,7.37,7.56
KGZ,21.3,25.35,22.81,28.62,21.92,25.67,21.31,31.33
KHM,11.71,13.69,13.58,15.03,12.72,16.57,16.03,14.39
KOR,21.05,24.42,25.24,24.12,25.59,21.49,22.76,25.16
KWT,50.11,57.6,44.91,44.93,51.81,41.44,53.01,45.2
LAO,21.42,22.53,21.65,24.05,18.59,24.49,23.45,21.77
LBN,14.07,15.13,16.5,17.27,18.57,16.97,16.2,17.9
LBR,47.5,49.68,34.04,40.6,33.74,61.53,49.12,37.53
LBY,30.49,31.97,33.9,37.19,38.97,39.22,39.26,40.03
LKA,15.93,18.51,19.37,15.42,16.8,17.89,18.23,16.84
LSO,9.7,9.39,9.38,9.16,7.96,6.97,7.13,8.01
LTU,19.53,16.09,13.66,17.48,16.23,12.05,15.57,18.65
LUX,19.0,16.1,16.1,14.6,16.7,14.5,13.9,15.3
LVA,16.76,12.84,11.08,14.5,13.19,10.25,12.63,15.67
MAR,20.85,22.41,20.48,20.4,19.53,19.95,20.75,20.71
MDA,19.56,16.89,17.07,20.29,14.82,14.06,15.84,16.81
MDG,3.08,3.36,5.53,3.72,3.7,3.14,3.89,3.55
MEX,13.66,15.91,10.65,10.59,9.8,7.81,9.22,8.14
MKD,23.67,23.91,18.23,18.53,16.91,16.55,16.54,15.4
MLI,61.44,65.52,57.62,62.55,59.39,63.56,61.33,57.0
MMR,16.93,16.47,16.64,17.36,15.76,18.79,18.45,18.26
MNE,19.43,19.62,16.35,16.58,16.37,15.83,14.58,14.82
MNG,13.83,13.12,10.37,13.76,13.76,9.88,9.41,10.67
MOZ,8.99,8.98,11.03,8.82,7.6,7.49,8.16,7.54
MRT,63.09,66.63,57.55,61.66,62.74,58.7,61.82,55.47
MWI,9.4,9.78,13.27,10.84,9.54,9.54,9.89,9.13
MYS,17.66,16.48,15.84,19.6,15.57,19.08,17.57,26.51
NAM,8.03,7.66,8.92,8.85,8.19,7.19,7.37,7.0
NCL,2.86,3.0,3.04,2.72,2.82,2.58,2.48,2.54
NER,66.09,73.68,64.97,69.44,65.2,71.11,70.22,67.36
NGA,64.79,84.58,69.48,71.43,64.12,74.53,75.56,68.31
NIC,8.52,8.99,10.33,8.7,8.83,6.59,10.32,6.78
NLD,18.98,20.36,17.48,19.17,20.63,18.56,16.32,17.86
NOR,6.39,6.36,5.11,5.36,5.34,4.41,3.82,5.44
NPL,26.89,28.28,35.72,39.49,35.6,37.07,31.55,32.93
NZL,2.63,2.67,2.64,2.34,2.13,2.08,2.06,2.13
OMN,41.23,50.53,45.86,46.96,51.65,47.57,47.95,48.26
PAK,47.73,50.49,60.89,62.2,56.59,59.92,43.65,46.58
PAN,12.24,14.36,10.18,8.59,12.4,10.47,12.32,12.46
PER,11.62,10.61,11.07,11.5,11.32,12.33,13.09,10.37
PHL,9.86,10.21,8.11,9.5,9.0,10.85,9.3,10.43
PNG,4.89,5.71,4.49,4.95,4.94,5.46,4.44,5.24
POL,26.65,26.55,22.59,28.23,24.33,20.58,23.86,26.05
PRI,5.07,6.5,5.27,5.47,4.5,4.13,4.7,4.63
PRK,16.53,18.73,21.17,18.99,22.48,20.35,19.14,23.09
PRT,10.73,11.28,11.17,10.71,11.65,9.94,9.52,10.82
PRY,12.79,8.56,8.37,12.05,9.76,9.99,10.06,8.51
PSE,16.3,18.9,19.2,20.6,21.4,19.85,19.15,20.65
QAT,41.97,47.2,39.87,40.8,54.8,48.73,51.27,50.97
ROU,24.15,21.82,19.69,21.6,19.33,17.16,18.76,18.59
RUS,9.0,9.13,8.42,9.52,10.83,7.08,7.54,8.82
RWA,21.61,26.74,26.91,26.04,20.94,25.21,22.59,20.09
SAU,26.64,32.61,31.91,33.49,42.76,37.53,38.89,39.84
SDN,32.74,35.16,34.19,35.48,35.27,36.67,35.05,34.63
SEN,56.7,60.58,44.49,54.29,56.17,54.3,48.92,46.97
SLB,1.43,1.65,1.92,2.5,2.13,2.05,1.92,2.53
SLE,46.57,45.78,34.15,35.14,33.1,47.02,41.44,34.44
SLV,16.28,18.77,12.27,10.63,12.17,8.75,11.43,9.93
SOM,14.91,20.57,15.21,16.82,15.23,15.16,14.61,15.0
SRB,,23.01,21.16,21.35,20.48,18.14,20.19,19.25
SSD,24.43,26.99,21.69,22.99,22.6,21.69,23.62,22.4
SUR,20.11,21.96,12.68,10.47,10.94,8.88,9.88,11.2
SVK,26.01,22.68,21.9,24.11,21.48,18.47,22.5,21.78
SVN,24.22,20.54,16.24,18.82,17.12,14.82,17.87,17.81
SWE,7.77,7.43,5.54,5.57,5.88,4.85,4.75,6.72
SWZ,11.78,13.38,9.72,8.94,8.24,9.28,9.94,9.82
SYR,16.85,18.0,16.8,18.83,19.04,19.01,18.88,20.99
TCD,45.83,51.83,46.09,50.42,49.67,52.07,51.44,50.26
TGO,59.35,84.52,64.24,64.57,55.95,73.96,64.74,62.33
THA,17.02,17.81,18.45,20.42,16.89,21.92,20.36,18.86
TJK,31.09,35.65,28.19,27.09,25.29,27.42,22.79,29.82
TKM,45.13,46.69,44.61,35.8,28.44,26.7,23.62,31.37
TLS,8.92,7.06,9.18,9.22,7.26,8.68,6.42,7.78
TTO,5.5,6.1,5.9,5.7,4.5,3.7,3.8,3.7
TUN,22.94,21.9,22.32,23.11,20.05,20.07,20.39,17.55
TUR,14.35,13.98,14.74,15.83,13.55,13.31,12.94,13.82
TZA,7.69,9.1,12.92,10.68,9.93,9.71,9.94,8.49
UGA,17.05,20.29,19.34,18.56,16.48,17.2,15.68,15.69
UKR,18.4,17.15,16.78,18.0,14.94,14.12,16.54,17.32
URY,5.49,5.16,4.97,4.59,4.42,3.5,3.65,4.5
USA,7.61,7.88,7.38,8.02,6.84,8.66,8.3,6.36
UZB,37.19,39.78,37.18,30.27,26.78,25.76,24.04,29.41
VEN,12.29,11.48,13.64,11.84,11.99,9.03,9.62,9.01
VNM,21.0,21.79,20.75,21.18,18.52,22.97,22.37,22.54
VUT,3.8,3.75,3.6,3.2,3.45,3.15,2.95,3.2
WSM,1.7,1.7,1.7,1.8,1.8,1.8,2.0,1.8
YEM,27.58,35.48,31.11,34.43,38.58,35.84,35.42,36.63
ZAF,8.31,8.02,7.63,7.31,6.77,6.57,6.69,7.18
ZMB,10.66,12.6,16.35,13.19,12.43,11.56,12.93,11.15
ZWE,7.29,9.09,13.35,9.86,8.72,7.64,8.97,8.15
