country,year,life_exp,population,pm
ABW,1998,73.491,84355.0,2.5
ABW,1999,73.561,86867.0,3.6099999
ABW,2000,73.569,89101.0,2.4000001
ABW,2001,73.647,90691.0,2.48
ABW,2002,73.726,91781.0,2.22
ABW,2003,73.752,92701.0,3.0899999
ABW,2004,73.576,93540.0,2.99
ABW,2005,73.811,94483.0,3.48
ABW,2006,74.026,95606.0,2.79
ABW,2007,74.21,96787.0,2.99
ABW,2008,74.147,97996.0,3.3900001
ABW,2009,74.56,99212.0,2.4200001
ABW,2010,75.404,100341.0,4.8200002
ABW,2011,75.465,101288.0,3.27
ABW,2012,75.531,102112.0,2.98
ABW,2013,75.636,102880.0,2.5899999
ABW,2014,75.601,103594.0,2.1600001
ABW,2015,75.683,104257.0,2.26
ABW,2016,75.617,104874.0,2.99
ABW,2017,75.903,105439.0,2.99
ABW,2018,76.072,105962.0,2.4000001
AFG,1998,52.943,18493132.0,10.56
AFG,1999,54.846,19262847.0,10.34
AFG,2000,55.298,19542982.0,11.6
AFG,2001,55.798,19688632.0,13.72
AFG,2002,56.454,21000256.0,13.31
AFG,2003,57.344,22645130.0,13.61
AFG,2004,57.944,23553551.0,12.31
AFG,2005,58.361,24411191.0,13.78
AFG,2006,58.684,25442944.0,14.18
AFG,2007,59.111,25903301.0,13.53
AFG,2008,59.852,26427199.0,14.45
AFG,2009,60.364,27385307.0,14.76
AFG,2010,60.851,28189672.0,14.78
AFG,2011,61.419,29249157.0,18.01
AFG,2012,61.923,30466479.0,16.07
AFG,2013,62.417,31541209.0,14.64
AFG,2014,62.545,32716210.0,15.17
AFG,2015,62.659,33753499.0,15.72
AFG,2016,63.136,34636207.0,15.77
AFG,2017,63.016,35643418.0,14.91
AFG,2018,63.081,36686784.0,13.71
AGO,1998,45.057,15366864.0,18.09
AGO,1999,45.386,15870753.0,15.73
AGO,2000,46.024,16394062.0,17.26
AGO,2001,46.59,16941587.0,21.620001
AGO,2002,47.386,17516139.0,19.4
AGO,2003,49.617,18124342.0,18.200001
AGO,2004,50.592,18771125.0,18.780001
AGO,2005,51.57,19450959.0,20.940001
AGO,2006,52.369,20162340.0,17.219999
AGO,2007,53.642,20909684.0,20.82
AGO,2008,54.633,21691522.0,22.209999
AGO,2009,55.752,22507674.0,19.860001
AGO,2010,56.726,23364185.0,23.549999
AGO,2011,57.596,24259111.0,21.4
AGO,2012,58.623,25188292.0,21.450001
AGO,2013,59.307,26147002.0,21.4
AGO,2014,60.04,27128337.0,18.700001
AGO,2015,60.655,28127721.0,20.01
AGO,2016,61.092,29154746.0,20.120001
AGO,2017,61.68,30208628.0,18.09
AGO,2018,62.144,31273533.0,18.790001
ALB,1998,74.99,3128530.0,16.23
