iter	RMSE
0	5.132515387
1	5.084691243
2	5.036482345
3	4.996282527
4	4.969822554
5	4.939262622
6	4.886645941
7	4.844501577
8	4.792699889
9	4.750458257
10	4.719715262
11	4.681896099
12	4.6387373
13	4.609204971
14	4.580562761
15	4.546593172
16	4.510268768
17	4.488646458
18	4.462098597
19	4.436432277
20	4.412465442
21	4.389069725
22	4.37230774
23	4.355456146
24	4.324992244
25	4.297200099
26	4.274736282
27	4.243590495
28	4.221578405
29	4.200009984
30	4.172261702
31	4.155520787
32	4.13105365
33	4.11258564
34	4.084229007
35	4.069853068
36	4.056807276
37	4.041679027
38	4.031132429
39	4.013981399
40	3.99939588
41	3.986175435
42	3.972371565
43	3.960217413
44	3.940943635
45	3.923363501
46	3.903593559
47	3.895670672
48	3.887372947
49	3.868736334
50	3.85170935
51	3.832487737
52	3.823853344
53	3.816523383
54	3.807331103
55	3.796158339
56	3.783246757
57	3.765323244
58	3.757059335
59	3.735393635
60	3.713091086
61	3.696312167
62	3.682287964
63	3.668866136
64	3.659705295
65	3.638940719
66	3.622771216
67	3.613230447
68	3.597699844
69	3.586988492
70	3.577893457
71	3.566530167
72	3.554230483
73	3.536573516
74	3.524696051
75	3.513660874
76	3.501435325
77	3.496569866
78	3.491401146
79	3.475871731
80	3.470089703
81	3.462073005
82	3.448927081
83	3.438246354
84	3.425640464
85	3.405214505
86	3.394684042
87	3.379788311
88	3.369668126
89	3.356068841
90	3.346743386
91	3.336927205
92	3.327947468
93	3.320916678
94	3.314773904
95	3.308925153
96	3.300192182
97	3.292040117
98	3.27679135
99	3.266563596
100	3.260053136
101	3.250882906
102	3.240977237
103	3.23109351
104	3.220936484
105	3.208423193
106	3.201134853
107	3.192202279
108	3.175130065
109	3.171234873
110	3.159759799
111	3.156395415
112	3.144651103
113	3.139851095
114	3.130276142
115	3.122256333
116	3.116894496
117	3.112890394
118	3.106058022
119	3.101334424
120	3.095260593
121	3.086533158
122	3.080939115
123	3.076867532
124	3.066922282
125	3.056246139
126	3.048725812
127	3.042719176
128	3.037799893
129	3.021992081
130	3.017600508
131	3.00571752
132	2.992931887
133	2.980177663
134	2.969616639
135	2.957823167
136	2.952509298
137	2.946221234
138	2.943080736
139	2.932788508
140	2.926444711
141	2.912480507
142	2.902256284
143	2.896072151
144	2.8890964
145	2.88326006
146	2.878796793
147	2.874434756
148	2.864909621
149	2.859342704
150	2.850821356
151	2.843468935
152	2.835923874
153	2.829290658
154	2.826775668
155	2.81648626
156	2.811378429
157	2.805429876
158	2.799153923
159	2.793841584
160	2.789337245
161	2.784245966
162	2.775725955
163	2.767850884
164	2.766492557
165	2.763814089
166	2.751342075
167	2.7461055
168	2.731961335
169	2.726881732
170	2.717965362
171	2.705570145
172	2.695036128
173	2.69015256
174	2.684372909
175	2.679516053
176	2.676501119
177	2.668242776
178	2.664826266
179	2.662004337
180	2.657204807
181	2.650750383
182	2.645279835
183	2.642065681
184	2.634894673
185	2.631052714
186	2.625970345
187	2.617035741
188	2.61151095
189	2.602539142
190	2.594790153
191	2.587924414
192	2.582574018
193	2.579399794
194	2.57181261
195	2.567944762
196	2.560686408
197	2.559642663
198	2.552084881
199	2.545845116
200	2.540452302
201	2.525227679
202	2.522104479
203	2.516720131
204	2.514799904
205	2.513571217
206	2.509276097
207	2.50435234
208	2.491274177
209	2.484265713
210	2.480710923
211	2.474564925
212	2.472223496
213	2.467329979
214	2.461626998
215	2.451400841
216	2.448122402
217	2.441897139
218	2.434138016
219	2.431426706
220	2.42021987
221	2.41316019
222	2.405800854
223	2.400151104
224	2.395107486
225	2.38732925
226	2.383586925
227	2.374782403
228	2.369491347
229	2.36420139
230	2.35740953
231	2.353562099
232	2.349509015
233	2.343569363
234	2.335125554
235	2.329154244
236	2.324375282
237	2.320561582
238	2.315096001
239	2.308883076
240	2.303326305
241	2.300079149
242	2.295551361
243	2.291250705
244	2.28357412
245	2.279178432
246	2.274149996
247	2.268881053
248	2.26464546
249	2.259672061
250	2.255432889
251	2.249848019
252	2.245711388
253	2.239985936
254	2.233763138
255	2.2290565
256	2.222419395
257	2.216813278
258	2.213272788
259	2.211146178
260	2.207026493
261	2.204755461
262	2.201769749
263	2.198016657
264	2.189972595
265	2.183142693
266	2.181107253
267	2.176527252
268	2.17339394
269	2.17000726
270	2.165928394
271	2.161003211
272	2.151882933
273	2.148322803
274	2.142357791
275	2.138572661
276	2.134659948
277	2.132298504
278	2.129356786
279	2.123972296
280	2.115472953
281	2.110405972
282	2.107906516
283	2.1031639
284	2.096505766
285	2.091957718
286	2.088917615
287	2.084496901
288	2.081770267
289	2.075603111
290	2.072848451
291	2.064792728
