iter	Passed	Remaining
0	1	1134
1	2	1120
2	3	1086
3	4	1037
4	5	998
5	5	971
6	6	966
7	7	964
8	8	971
9	9	975
10	10	964
11	11	954
12	12	943
13	13	936
14	14	931
15	15	924
16	15	919
17	16	918
18	17	921
19	18	923
20	19	919
21	20	915
22	21	910
23	22	907
24	23	904
25	24	900
26	24	898
27	25	895
28	26	894
29	27	892
30	28	890
31	29	888
32	30	888
33	31	887
34	32	889
35	33	894
36	34	899
37	35	900
38	36	902
39	37	903
40	38	905
41	39	905
42	40	904
43	41	903
44	42	903
45	43	902
46	44	902
47	45	901
48	46	900
49	47	899
50	48	900
51	49	903
52	50	905
53	51	905
54	52	904
55	53	903
56	54	903
57	55	903
58	56	902
59	57	902
60	58	901
61	59	900
62	60	898
63	61	897
64	62	896
65	63	896
66	64	897
67	65	899
68	66	899
69	67	897
70	68	896
71	69	894
72	70	892
73	71	891
74	72	890
75	73	890
76	74	891
77	75	891
78	76	892
79	77	893
80	78	893
81	79	893
82	80	893
83	81	893
84	82	892
85	83	891
86	84	890
87	85	891
88	87	890
89	88	890
90	89	891
91	90	891
92	91	890
93	92	887
94	93	888
95	94	887
96	95	888
97	96	888
98	97	889
99	98	889
100	99	888
101	100	887
102	101	887
103	103	887
104	104	887
105	105	887
106	106	887
107	107	887
108	108	885
109	109	884
110	110	883
111	111	884
112	112	884
113	113	883
114	114	882
115	115	881
116	116	879
117	117	878
118	118	878
119	119	876
120	120	875
121	121	874
122	122	874
123	123	873
124	124	872
125	125	872
126	126	871
127	127	871
128	128	870
129	130	870
130	131	870
131	132	870
132	133	870
133	134	869
134	135	869
135	136	868
136	137	866
137	138	865
138	139	865
139	140	864
140	141	863
141	142	863
142	143	862
143	144	861
144	145	860
145	146	859
146	147	857
147	148	856
148	149	855
149	150	853
150	151	852
151	152	851
152	153	850
153	154	849
154	155	847
155	156	846
156	157	846
157	158	845
158	159	844
159	160	843
160	161	842
161	162	840
162	163	839
163	164	838
164	165	836
165	166	835
166	167	833
167	168	832
168	169	831
169	169	829
170	170	828
171	171	826
172	172	825
173	173	824
174	174	824
175	176	824
176	177	823
177	178	822
178	179	821
179	179	819
180	180	818
181	181	817
182	182	816
183	183	815
184	184	814
185	185	813
186	186	812
187	187	811
188	189	811
189	190	811
190	191	811
191	192	810
192	193	809
193	194	808
194	195	807
195	196	806
196	197	805
197	198	805
198	199	804
199	200	803
200	202	803
201	203	802
202	204	801
203	205	801
204	206	801
205	207	800
206	208	798
207	209	797
208	210	796
209	211	795
210	212	794
211	213	793
212	214	792
213	215	791
214	216	790
215	217	789
216	218	787
217	219	786
218	220	785
219	221	784
220	222	783
221	223	782
222	224	781
223	225	780
224	226	779
225	227	778
226	228	777
227	229	777
228	230	776
229	231	775
230	232	773
231	233	772
232	234	771
233	235	770
234	236	770
235	237	769
236	238	768
237	239	766
238	240	765
239	241	764
240	242	763
241	243	761
242	244	760
243	244	758
244	245	757
245	246	756
246	247	755
247	248	753
248	249	752
249	250	750
250	251	749
251	252	748
252	253	747
253	254	746
254	255	745
255	255	743
256	256	742
257	257	741
258	258	740
259	259	738
260	260	737
261	261	736
262	262	734
263	263	733
264	264	732
265	264	731
266	265	729
267	266	728
268	267	727
269	268	727
270	270	726
271	271	725
272	272	724
273	273	723
274	274	722
275	275	722
276	276	720
277	277	719
278	278	718
279	279	718
280	280	717
281	281	716
282	282	716
283	283	715
284	285	715
285	286	714
286	287	713
287	288	713
288	289	712
289	290	711
290	291	711
291	292	710
292	293	709
293	294	708
294	296	707
295	297	706
296	298	705
297	299	704
298	300	704
299	301	703
300	302	702
301	303	701
302	304	700
303	305	699
304	306	698
305	307	696
306	308	695
307	309	694
308	310	693
309	311	692
310	311	691
311	312	690
312	313	688
313	314	687
314	316	687
315	317	686
316	318	685
317	319	684
318	320	683
319	321	682
320	322	681
321	323	680
322	324	679
323	325	678
324	326	678
325	327	677
326	328	676
327	329	674
328	330	674
329	331	673
330	332	672
331	333	671
332	334	670
333	335	669
334	336	667
335	337	666
336	338	665
337	339	664
338	340	663
339	340	661
340	341	660
341	342	659
342	343	658
343	344	657
344	345	655
345	346	654
346	347	654
347	348	652
348	349	651
349	350	650
350	351	649
351	352	648
352	352	646
353	353	645
354	354	644
355	355	643
356	356	642
357	357	641
358	358	639
359	359	638
360	360	637
361	361	636
362	362	635
363	363	634
364	364	633
365	365	632
366	366	631
367	367	630
368	368	630
369	369	629
370	370	628
371	371	627
372	372	626
373	373	625
374	374	624
375	375	623
376	377	623
377	378	622
378	379	622
379	380	621
380	382	620
381	383	620
382	384	619
383	385	618
384	386	618
385	388	617
386	389	616
387	390	615
388	391	614
389	392	613
390	393	613
391	395	612
392	396	612
393	397	611
394	398	610
395	399	609
396	400	608
397	401	607
398	402	606
399	403	605
400	404	604
401	405	603
402	406	601
403	407	600
404	408	599
405	409	598
406	410	597
407	411	596
408	412	595
409	413	594
410	414	593
411	415	592
412	416	591
413	417	590
414	418	589
415	419	588
416	420	587
417	421	586
418	422	585
419	423	585
420	424	584
421	425	583
422	426	582
423	427	581
424	428	580
425	429	578
426	430	577
427	431	576
428	432	575
429	433	574
430	434	573
431	435	572
432	436	571
433	436	569
434	437	568
435	438	567
436	439	566
437	440	565
438	441	564
439	442	563
440	443	562
441	444	561
442	445	560
443	446	559
444	447	557
445	448	556
446	449	555
447	450	554
448	451	553
449	451	552
450	452	551
451	453	550
452	454	549
453	456	548
454	457	547
455	458	546
456	459	545
457	459	544
458	460	543
459	461	542
460	462	541
461	463	540
462	464	539
463	465	538
464	466	537
465	467	536
466	468	535
467	469	533
468	470	532
469	471	532
470	473	531
471	474	530
472	475	529
473	476	528
474	477	527
475	478	526
476	479	525
477	480	524
478	481	523
479	482	522
480	483	521
481	484	520
482	485	519
483	486	518
484	487	517
485	488	516
486	489	515
487	490	514
488	491	514
489	493	513
490	494	512
491	495	511
492	496	510
493	497	509
494	498	508
495	499	507
496	500	506
497	501	505
498	502	504
499	503	503
500	504	502
501	505	501
502	506	500
503	507	499
504	508	498
505	509	497
506	510	496
507	511	495
508	513	494
509	514	494
510	515	493
511	516	492
512	517	491
513	518	490
514	520	489
515	521	488
516	522	487
517	523	486
518	524	485
519	525	484
520	526	483
521	527	482
522	528	481
523	529	480
524	530	479
525	531	478
526	532	477
527	533	476
528	534	475
529	535	475
530	536	474
531	537	473
532	538	471
533	539	470
534	540	469
535	541	468
536	542	467
537	543	466
538	544	465
539	545	464
540	546	463
541	547	462
542	548	461
543	549	460
544	550	459
545	551	458
546	552	457
547	553	456
548	554	455
549	555	454
550	557	453
551	558	453
552	559	452
553	560	451
554	561	450
555	562	449
556	563	448
557	564	447
558	566	446
559	567	445
560	568	444
561	569	444
562	570	443
563	572	442
564	573	441
565	574	440
566	575	439
567	576	438
568	577	437
569	578	436
570	579	435
571	580	434
572	581	433
573	583	432
574	584	431
575	585	430
576	586	430
577	587	429
578	588	428
579	590	427
580	591	426
581	592	425
582	593	424
583	594	423
584	595	422
585	596	421
586	598	420
587	599	420
588	600	419
589	601	418
590	602	417
591	603	416
592	605	415
593	606	414
594	607	413
595	608	412
596	609	411
597	610	410
598	611	409
599	613	408
600	614	407
601	615	407
602	616	406
603	618	405
604	619	404
605	620	403
606	621	402
607	622	401
608	623	400
609	624	399
610	625	398
611	626	397
612	627	396
613	628	395
614	629	394
615	631	393
616	632	392
617	633	391
618	634	390
619	635	389
620	636	388
621	637	387
622	638	386
623	639	385
624	640	384
625	641	383
626	642	382
627	643	381
628	644	380
629	646	379
630	647	378
631	648	377
632	649	376
633	650	375
634	651	374
635	652	373
636	653	372
637	655	371
638	656	370
639	657	369
640	659	369
641	660	368
642	661	367
643	662	366
644	663	365
645	665	364
646	666	363
647	667	362
648	668	361
649	670	360
650	671	359
651	672	358
652	673	357
653	674	356
654	675	355
655	677	355
656	678	354
657	679	353
658	680	352
659	681	351
660	682	350
661	683	349
662	685	348
663	686	347
664	687	346
665	688	345
666	689	344
667	691	343
668	692	342
669	693	341
670	694	340
671	696	339
672	697	338
673	698	337
674	699	336
675	700	335
676	701	334
677	703	333
678	704	332
679	705	332
680	706	331
681	708	330
682	709	329
683	710	328
684	711	327
