country,life_exp_1999,life_exp_2000,life_exp_2001,life_exp_2002,life_exp_2003,life_exp_2004,life_exp_2005,life_exp_2006,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,min_1999,min_2000,min_2001,min_2002,min_2003,min_2004,min_2005,min_2006,max_1999,max_2000,max_2001,max_2002,max_2003,max_2004,max_2005,max_2006,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
AFG,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,19262847.0,19542982.0,19688632.0,21000256.0,22645130.0,23553551.0,24411191.0,25442944.0,18.4,20.1,10.4,10.0,15.5,18.0,14.1,20.8,65.0,67.8,90.0,85.8,89.2,86.7,72.7,74.0,38.92,37.64,45.62,46.91,47.35,45.03,34.45,41.26
AGO,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,15870753.0,16394062.0,16941587.0,17516139.0,18124342.0,18771125.0,19450959.0,20162340.0,7.3,7.6,8.3,9.5,8.0,7.5,9.1,7.1,26.6,33.0,28.8,29.2,27.7,29.6,29.3,25.0,13.76,15.01,16.42,15.98,14.9,14.32,16.16,13.31
ALB,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,19.0,18.2,14.5,15.1,14.6,14.1,13.2,12.7,24.6,23.5,18.8,19.2,18.7,18.8,17.6,17.4,21.54,21.17,16.38,17.25,16.62,16.31,15.55,14.81
ARE,73.67,74.38,74.636,74.901,76.222,76.453,76.683,76.909,3097563.0,3275333.0,3454198.0,3633655.0,3813443.0,3993339.0,4280993.0,4898954.0,35.5,43.3,42.4,35.7,47.0,44.1,41.8,39.9,46.7,52.9,48.8,43.7,59.9,49.8,53.7,53.5,41.75,47.58,45.71,40.3,53.35,47.75,47.48,47.35
ARG,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,36653031.0,37070774.0,37480493.0,37885028.0,38278164.0,38668796.0,39070501.0,39476851.0,1.8,1.5,1.8,1.8,1.5,1.6,1.6,1.7,22.3,22.8,21.3,28.0,19.0,21.4,25.9,16.1,6.29,5.5,6.13,6.71,6.42,5.37,5.88,5.74
ARM,70.257,70.624,70.932,71.018,71.436,71.421,71.792,71.987,3206030.0,3168523.0,3133133.0,3105037.0,3084102.0,3065745.0,3047246.0,3026486.0,14.4,13.1,12.2,11.5,12.0,11.7,12.3,11.5,21.6,20.2,21.1,20.8,21.1,21.5,21.4,21.2,16.1,14.75,14.55,14.35,15.52,14.92,14.92,14.95
AUS,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,18812264.0,19028802.0,19274701.0,19495210.0,19720737.0,19932722.0,20176844.0,20450966.0,1.9,1.8,1.7,1.9,1.7,1.5,1.6,1.6,12.0,10.2,10.9,10.2,20.9,9.3,8.7,12.8,5.25,4.43,5.07,5.91,4.72,4.16,4.42,4.44
AUT,77.8756097560976,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,16.1,14.7,14.2,13.7,12.3,11.0,11.3,12.2,25.0,24.3,23.3,24.5,22.3,18.8,22.8,24.3,19.93,18.98,17.52,18.07,16.49,13.94,15.86,16.53
AZE,64.189,64.891,65.51,66.239,66.756,67.346,67.562,68.165,7982750.0,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,11.4,11.5,12.4,12.0,13.4,12.5,12.3,12.9,22.5,23.1,20.4,21.6,25.3,19.5,23.0,23.8,18.95,18.35,16.1,16.98,18.56,15.91,17.33,18.0
BDI,47.528,47.514,48.431,49.891,50.857,52.01,53.023,53.869,6180180.0,6307659.0,6465729.0,6648938.0,6860846.0,7120496.0,7388874.0,7658190.0,15.0,18.7,20.4,17.8,17.0,18.9,17.0,14.7,25.4,30.9,26.6,24.3,21.0,24.9,23.5,19.5,18.36,23.49,23.49,19.92,18.66,20.7,19.61,16.64
BEL,77.619512195122,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,18.4,15.0,14.5,14.3,15.5,13.1,12.5,13.9,22.4,25.2,21.2,20.5,25.5,23.2,18.4,23.8,20.4,19.31,17.85,17.21,19.88,17.33,15.29,18.38
BEN,56.526,56.578,56.66,56.606,56.738,56.826,57.125,57.456,6788589.0,6998023.0,7212041.0,7431783.0,7659208.0,7894554.0,8149419.0,8402631.0,49.2,68.6,58.0,59.2,49.0,66.1,59.0,56.4,66.6,89.0,74.6,74.8,65.3,87.1,79.0,73.3,58.59,79.71,66.44,66.08,55.0,72.35,65.72,63.01
BFA,50.325,50.847,51.071,51.272,51.793,52.416,53.092,53.742,11533554.0,11882888.0,12249764.0,12632269.0,13030591.0,13445977.0,13876127.0,14316242.0,45.5,54.7,43.0,45.8,42.7,58.8,50.2,45.4,62.6,70.9,62.3,64.0,60.4,78.9,69.7,61.6,52.26,63.11,53.64,57.88,49.17,69.48,60.8,54.01
BGD,66.228,65.779,66.135,66.612,66.824,67.187,67.299,67.241,126754824.0,129193327.0,131670484.0,134139826.0,136503206.0,138789725.0,140912590.0,142628831.0,24.0,25.1,28.3,25.7,23.0,24.0,26.3,28.3,50.8,58.4,59.4,62.5,56.3,55.8,60.4,61.6,41.31,47.47,50.91,51.16,47.81,48.14,49.37,51.51
BGR,71.4121951219512,71.6634146341463,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,8210624.0,8170172.0,8009142.0,7837161.0,7775327.0,7716860.0,7658972.0,7601022.0,17.5,16.8,15.2,15.2,13.8,12.3,14.1,13.2,25.1,25.7,21.8,22.3,20.3,19.3,19.9,19.5,21.23,20.49,17.95,18.83,17.09,15.08,16.61,15.93
BHS,71.771,72.041,72.11,72.232,72.402,72.478,72.765,72.855,320272.0,325014.0,329626.0,334002.0,338490.0,343089.0,347804.0,352664.0,6.4,6.8,6.6,5.4,5.7,5.4,5.3,6.0,6.4,6.8,6.6,5.4,5.7,5.4,5.3,6.0,6.4,6.8,6.6,5.4,5.7,5.4,5.3,6.0
BIH,75.076,74.496,75.06,74.612,75.782,76.133,75.42,76.247,4153014.0,4179350.0,4194932.0,4198410.0,4183757.0,4142860.0,4094297.0,4058086.0,17.8,18.8,14.4,14.8,15.7,14.3,13.0,13.3,30.2,29.3,24.7,26.0,25.0,23.2,25.7,24.9,24.07,23.37,19.35,20.92,19.73,18.44,19.21,18.69
BLR,67.9073170731707,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,10026738.0,9979610.0,9928549.0,9865548.0,9796749.0,9730146.0,9663915.0,9604924.0,17.6,14.2,13.5,17.3,13.3,13.1,12.4,16.7,25.0,22.9,21.1,25.6,22.9,17.7,21.4,24.6,21.0,18.15,16.9,20.85,15.63,14.67,16.73,19.6
BLZ,68.773,68.564,68.357,68.752,68.909,69.227,69.376,70.093,232733.0,240406.0,248100.0,255987.0,263998.0,272128.0,280375.0,288729.0,10.9,13.0,11.4,9.9,12.1,8.5,10.8,8.9,12.0,16.2,13.4,12.2,16.5,9.6,13.4,11.2,11.46,15.14,12.48,11.12,14.46,8.98,11.92,10.28
BOL,61.871,62.346,62.843,63.306,63.635,64.004,64.386,64.779,8439052.0,8592656.0,8746084.0,8900583.0,9057378.0,9216279.0,9377388.0,9542663.0,7.4,7.2,6.7,6.9,5.6,6.1,6.2,4.8,24.0,26.0,20.6,23.7,24.5,26.2,26.6,21.5,16.46,13.08,11.25,14.28,12.02,15.51,15.66,11.88
BRA,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,173486281.0,175873720.0,178211881.0,180476685.0,182629278.0,184722043.0,186797334.0,188820682.0,3.2,3.0,2.9,3.0,2.6,2.4,2.4,2.4,40.3,28.2,24.5,31.2,27.3,39.5,33.0,25.5,12.5,10.27,11.36,12.45,11.58,13.02,12.19,10.01
BRN,73.863,74.08,74.276,74.426,74.561,74.65,74.731,74.783,327045.0,333926.0,340748.0,347463.0,354045.0,360461.0,366717.0,372808.0,8.8,7.5,7.8,12.2,10.9,11.5,9.0,14.1,10.4,8.9,9.4,14.3,12.9,13.9,11.9,19.0,9.6,8.2,8.6,13.25,11.9,12.7,10.45,16.55
BTN,62.23,62.01,63.444,64.078,64.696,65.268,65.805,66.362,570990.0,587207.0,603234.0,619048.0,634627.0,649991.0,663323.0,673260.0,7.9,9.7,10.9,11.8,12.8,15.9,16.1,17.2,24.8,28.1,25.4,26.1,28.6,32.0,32.4,32.4,15.18,17.81,18.61,18.76,20.87,24.14,24.73,24.65
BWA,51.694,51.011,50.676,50.632,50.947,51.617,52.61,53.918,1691558.0,1726985.0,1761930.0,1795130.0,1826863.0,1859085.0,1892807.0,1928704.0,4.9,4.9,6.4,7.0,6.9,6.0,5.9,5.7,20.6,14.2,14.0,12.6,12.1,10.5,12.2,10.7,9.44,8.98,10.22,9.65,9.07,7.75,9.33,7.57
CAF,45.75,45.406,45.393,45.409,45.76,46.038,46.433,46.851,3655360.0,3759170.0,3844773.0,3930648.0,4026841.0,4115138.0,4208834.0,4294352.0,28.0,29.5,21.7,21.8,22.4,20.1,21.7,20.1,46.7,44.2,34.6,33.5,37.3,47.5,41.4,34.8,34.47,35.19,27.71,27.73,29.31,33.22,28.04,27.43
CAN,78.8853658536585,79.1365853658537,79.3390243902439,79.490243902439,79.7414634146342,79.8926829268293,80.1926829268293,80.3439024390244,30401286.0,30685730.0,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,1.4,1.2,1.2,1.3,1.7,1.4,1.4,1.3,22.9,12.3,14.0,14.6,13.6,49.1,20.1,19.9,3.99,3.28,3.35,3.86,4.18,6.01,3.97,3.73
CHE,79.580487804878,79.6804878048781,80.1804878048781,80.3853658536585,80.5365853658537,81.0878048780488,81.2365853658537,81.490243902439,7143991.0,7184250.0,7229854.0,7284753.0,7339001.0,7389625.0,7437115.0,7483934.0,15.7,14.7,16.8,14.1,15.7,11.4,11.6,12.7,26.8,22.7,21.4,18.9,19.2,15.2,14.3,17.1,22.66,18.58,18.47,16.83,17.86,13.52,13.18,15.74
CHL,76.018,76.87,76.773,77.445,77.387,77.616,78.016,78.261,15176410.0,15351799.0,15523978.0,15693790.0,15859112.0,16017966.0,16175311.0,16334575.0,1.6,1.3,1.6,1.6,1.5,1.6,1.6,1.6,23.2,25.8,20.9,25.7,17.7,20.4,21.6,17.5,6.39,5.79,6.59,6.91,5.22,5.39,5.63,5.11
CHN,71.419,71.881,72.606,72.985,73.371,73.748,74.111,74.504,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1.5,2.0,2.9,2.7,3.0,3.1,2.7,2.2,198.9,168.5,171.4,171.4,127.9,124.3,101.7,149.9,31.62,33.62,32.85,33.55,32.53,31.48,29.19,35.47
CIV,50.957,50.842,50.81,50.886,50.954,51.363,51.824,52.355,16345894.0,16799670.0,17245468.0,17683897.0,18116451.0,18544903.0,18970215.0,19394057.0,40.7,48.2,33.0,40.8,35.1,55.4,46.8,39.1,60.6,84.8,54.6,70.3,53.5,86.7,67.0,56.7,51.67,66.32,43.57,50.44,43.48,71.94,55.74,47.74
CMR,52.695,52.932,53.142,53.415,53.883,54.178,54.362,54.856,14698973.0,15091594.0,15493253.0,15914033.0,16354326.0,16809407.0,17275171.0,17751333.0,28.0,34.0,24.5,24.0,25.8,25.2,22.4,16.8,56.8,69.0,57.9,61.9,58.0,67.9,66.7,60.3,44.27,48.76,37.32,37.21,39.4,45.78,40.46,37.17
COD,49.945,51.781,52.116,52.333,52.827,53.426,53.927,54.534,47227238.0,48616317.0,50106657.0,51662071.0,53205639.0,54815607.0,56550247.0,58381630.0,10.8,12.6,14.6,11.9,11.4,10.4,11.1,10.2,51.9,62.2,39.5,39.7,36.8,45.1,36.8,30.4,33.02,39.33,27.34,28.12,26.98,31.37,27.17,23.06
COG,52.757,53.682,54.395,55.088,55.948,56.986,58.126,58.878,3016659.0,3134030.0,3254101.0,3331158.0,3424653.0,3543012.0,3672839.0,3813323.0,12.7,14.3,16.6,17.3,18.0,16.9,16.4,15.4,46.4,54.1,33.4,36.4,35.0,45.6,37.1,30.1,35.23,40.3,28.12,28.89,29.12,34.46,28.17,23.94
COL,70.926,71.32,71.502,71.939,72.361,72.695,73.081,73.468,38585033.0,39215135.0,39837875.0,40454050.0,41057687.0,41648268.0,42220940.0,42772910.0,7.0,6.9,8.2,6.9,6.4,4.9,5.8,5.2,61.3,66.9,32.6,33.6,44.6,35.6,37.0,36.8,26.28,25.69,18.69,17.21,20.5,18.47,18.25,17.57
COM,58.781,58.757,59.163,59.056,59.258,59.48,59.604,59.875,526443.0,536758.0,547741.0,559047.0,570130.0,581154.0,592683.0,604658.0,2.9,3.6,4.0,3.7,3.8,3.5,3.6,3.3,2.9,3.6,4.0,3.7,3.8,3.5,3.6,3.3,2.9,3.6,4.0,3.7,3.8,3.5,3.6,3.3
CPV,67.569,68.618,69.929,70.705,71.429,71.999,72.68,72.239,449627.0,458251.0,465958.0,473231.0,480089.0,486583.0,492827.0,498884.0,37.3,42.3,29.0,32.2,26.8,29.0,29.9,24.1,37.3,42.3,29.0,32.2,26.8,29.0,29.9,24.1,37.3,42.3,29.0,32.2,26.8,29.0,29.9,24.1
CRI,77.138,77.586,77.545,77.983,78.072,78.331,78.505,78.514,3901430.0,3979193.0,4053222.0,4122623.0,4188610.0,4252800.0,4315887.0,4378172.0,5.5,6.0,5.7,5.3,5.7,4.9,5.7,5.5,7.9,8.3,8.3,7.0,7.5,6.7,8.6,7.7,6.61,7.04,6.99,6.21,6.55,5.7,7.22,6.5
CUB,75.893,76.183,76.421,76.612,76.773,76.912,77.047,77.179,11070094.0,11105791.0,11139127.0,11170051.0,11199217.0,11225294.0,11246114.0,11260630.0,6.9,8.1,8.5,7.7,7.0,6.0,5.9,6.8,10.0,12.2,10.6,9.7,10.3,9.5,9.9,9.9,8.02,9.49,9.6,8.66,8.45,7.29,7.2,7.91
CYP,76.295,76.568,76.989,77.487,77.788,77.944,78.101,78.371,931600.0,948237.0,964830.0,982194.0,1000350.0,1018684.0,1037062.0,1055438.0,12.0,12.6,13.1,12.4,12.8,12.5,11.9,14.6,12.4,12.7,13.8,13.1,13.1,12.6,12.3,15.2,12.2,12.65,13.45,12.75,12.95,12.55,12.1,14.9
CZE,74.6682926829268,74.9682926829268,75.1731707317073,75.2219512195122,75.1707317073171,75.7219512195122,75.9243902439025,76.5243902439024,10283860.0,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,18.6,18.2,18.6,17.5,16.0,13.4,15.2,16.4,36.5,30.2,30.6,33.0,30.4,25.2,32.4,31.1,24.21,22.83,22.47,23.51,20.6,17.54,21.57,20.75
DEU,77.7268292682927,77.9268292682927,78.3292682926829,78.2292682926829,78.3804878048781,78.6804878048781,78.9317073170732,79.1317073170732,82100243.0,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,16.8,15.8,12.5,14.4,15.4,11.8,11.8,14.0,24.3,23.9,22.9,25.7,23.0,19.6,21.8,21.0,20.08,18.58,17.13,18.97,18.12,15.14,15.18,16.51
DJI,56.427,56.573,56.903,57.215,57.595,57.759,58.316,58.715,719371.0,742033.0,765490.0,789129.0,806411.0,818373.0,830861.0,846947.0,21.8,24.0,23.9,23.4,21.3,20.6,20.7,20.3,27.1,31.2,28.4,27.5,24.2,23.7,25.9,24.4,25.22,27.32,25.73,25.55,23.12,22.52,23.27,22.72
DNK,76.3414634146341,76.5926829268293,76.7926829268293,76.8951219512195,77.1439024390244,77.4926829268293,77.8439024390244,78.0951219512195,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,14.5,14.1,8.8,11.7,13.4,9.6,10.8,11.7,19.4,19.3,14.8,18.3,18.7,14.6,15.5,17.6,16.94,16.47,11.7,14.91,16.06,11.89,12.85,14.44
DOM,69.279,69.423,69.642,69.923,70.265,70.331,70.875,71.165,8411374.0,8540791.0,8669040.0,8795101.0,8919852.0,9043127.0,9164768.0,9284168.0,6.0,7.6,6.3,6.2,5.5,4.8,5.9,5.9,12.6,13.5,11.9,10.3,12.1,9.3,11.3,11.4,9.21,10.54,8.96,8.32,8.86,7.0,9.12,8.74
DZA,70.032,70.478,70.823,71.23,71.287,71.762,72.061,72.334,30346083.0,30774621.0,31200985.0,31624696.0,32055883.0,32510186.0,32956690.0,33435080.0,16.8,14.9,13.8,11.8,13.7,13.2,13.6,12.6,64.7,74.6,71.5,75.2,68.1,68.2,71.7,68.6,43.51,43.78,42.09,46.81,40.1,41.12,44.68,41.33
ECU,72.463,72.839,73.24,73.613,73.975,74.279,74.514,74.689,12412046.0,12626507.0,12845521.0,13070609.0,13301184.0,13534593.0,13770012.0,14009061.0,3.0,3.0,3.3,3.2,2.9,3.0,3.3,3.1,23.9,22.8,20.4,19.1,18.8,26.0,24.6,18.0,12.21,11.81,11.36,11.78,11.44,13.86,13.48,11.52
